"shortform","fullname","url"
"LTEA","Land Transport Excellence Awards",""
"LTSS","Long Term Service Support",""
"LUP","Lift Upgrading Programme",""
"LX","Leadership eXchange",""
"MA","Matters Arising",""
"MAC","Market Adjustment Component",""
"MARK","MediA Relations Knowledge Management System",""
"MART","Marquesas Islands Time (UTC-09:30)",""
"MAS","Monetary Authority Of Singapore",""
"MAS","Monetary Authority of Singapore",""
"MAU","Monthly Active User",""
"MBC","Mapletree Business Center",""
"MBIM","Medical Benefits Identity Memo",""
"MC","Management Committee",""
"MC","Medical Certificate",""
"MCCY","Ministry Of Culture, Community And Youth",""
"MCF","My Careers Future","mycareersfuture.sg"
"MCG","Multi Company Group",""
"MCI","Ministry of Communications and Information",""
"MCIO","Microsoft Cloud Infrastructure and Operations",""
"MCISO","Ministry Chief Information Security Officer",""
"MDP","Minor Development Project",""
"MDV","Minor Development Vote",""
"MEST","Middle European Summer Time(UTC+02:00)",""
"MEWR","Ministry of Environment and Water Resources",""
"MFA","Multi Factor Authentication",""
"MFA","Ministry of Foreign Affairs",""
"MFDP","Ministry Family Digitalisation Plan",""
"MHA","Ministry of Home Affairs",""
"MHI","Managed Hosting Infrastructure",""
"MI","Merit Increment",""
"MI","Messaging Infrastructure",""
"MIC","Manager In Charge",""
"MICE","Meetings, Incentives, Conventions and Exhibitions",""
"MIN","Minister",""
"MINDEF","Ministry of Defence",""
"MINLAW","Ministry of Law",""
"MLC","Micro-Learning Course",""
"MM","Middle Management",""
"MMBA","Ministry Medical Benefits Administrator",""
"MMF","Manpower Management Framework",""
"MMT","Myanmar Standard Time (UTC+06:30)",""
"MND","Ministry of National Development",""
"MOCC","Monitoring and Operations Command Centre",""
"MOE","Ministry Of Education",""
"MOF","Ministry Of Finance",""
"MOH","Ministry Of Health",""
"MOI","Memorandum Of Intent",""
"MOL","Moments Of Life",""
"MOM","Ministry Of Manpower",""
"MOS","Minister Of State",""
"MOT","Ministry Of Transport",""
"MP","Member of Parliament",""
"MPA","Maritime And Port Authority Of Singapore",""
"MPDA","Minimum Pension Drawing Age",""
"MPLS","Multi Protocol Label Switching",""
"MPS","Managed Print Services",""
"MRO","Maintenance Repair Overhaul",""
"MRSS","Media RSS",""
"MS","Mail Service",""
"MSF","Ministry Of Social And Family Development",""
"MSF","Multi Source Feedback",""
"MSK","Moscow Time (UTC+03:00)",""
"MSL","MediShield Life",""
"MSM","Ministerial Staff Meeting",""
"MSO","Management Support Officer",""
"MSO","Medisave-cum-Subsidised Outpatient",""
"MSP","Minimum Service Period",""
"MSS","Management Support Scheme",""
"MST","Malaysia Standard Time (UTC+08:00)",""
"MST","Mountain Standard Time USA(UTC-07:00)",""
"MTI","Ministry of Trade and Industry",""
"MUIS","Majlis Ugama Islam Singapura",""
"MUT","Mauritius Time  (UTC+04:00)",""
"MVP","Minimum Viable Product",""
"MXOs","Management Executives",""
"MXS","Management Executive Scheme",""
"MaaS","Mobility as a Service",""
"MoP","Member of Public",""
"MoU","Memorandum of Understanding",""
"NAC","Network Access Control",""
"NAC","National Arts Council",""
"NAF","National Authentication Framework",""
"NAI","National Authentication Infrastructure",""
"NAS","National Archives of Singapore",""
"NBN","National Broadband Network",""
"NCB","National Computer Board",""
"NCIRC","National Cybersecurity Incident Response Centre",""
"NCMP","Non-Constituency Member of Parliament",""
"NCSC","National Cable Standards Committee",""
"NCSS","National Council Of Social Service",""
"NDA","National Day Award",""
"NDA","Non-Disclosure Agreement",""
"NDA","Non Disclosure Agreement",""
"NDI","National Digital Identity",""
"NDP","National Day Parade",""
"NDT","Newfoundland Daylight Time (UTC-02:30)",""
"NEA","National Environment Agency",""
"NECTAR","Next-Generation Container Architecture",""
"NEV","Net Economic Value",""
"NFS","New Financial System",""
"NGC","NVIDIA GPU Cloud",""
"NGNII","Next Generation National Infocomm Infrastructure",""
"NGPP2","National Grid Pilot Platform 2",""
"NGW LAN","Next Generation Wireless Local Area Network",""
"NHB","National Heritage Board",""
"NHP","National Healthy Population",""
"NICC","National Infocomm Competency Centre",""
"NII","National Infocomm Infrastructure",""
"NIMBY","Not In My Backyard",""
"NIS","National Infocomm Scholarship",""
"NIST","National Institute of Standards and Technology",""
"NITLP","National IT Literacy Programme",""
"NLB","National Library Board",""
"NLP","Natural-language processing",""
"NMP","Nominated Member of Parliament",""
"NP","Ngee Ann Polytechnic",""
"NPARKS","National Parks Board",""
"NPL","No-Pay Leave",""
"NPPK","New Phoenix Park",""
"NPT","Nepal Time  (UTC+05:45)",""
"NParks","National Park Board",""
"NRF","National Research Foundation",""
"NRFF","New Rail Financing Framework",""
"NRI","Networked Readiness Index",""
"NRIC","National Registration Identity Card",""
"NRP","Neighbourhood Renewal Programme",""
"NSC","North-South Corridor",""
"NSC","National Speech Corpus",""
"NSCS","National Security Coordination Secretariat",""
"NSEWL","North-South and East-West Lines",""
"NST","Newfoundland Standard Time (UTC-03:30)",""
"NTC","National Translation Committee",""
"NTU","Nanyang Technological University",""
"NYC","National Youth Council of Singapore",""
"NYP","Nanyang Polytechnic",""
"NZDT","New Zealand Daylight Time(UTC+13:00)",""
"NZST","New Zealand Standard Time(UTC+12:00)",""
"NcTMC","National Cybersecurity Threat Monitoring Center",""
"NoM","Notice of Meeting",""
"NoSQL","Next Order Structed Query Language",""
"OBLS","Online Business Licensing Services",""
"OBS","Outward Bound Singapore",""
"OCR","Optical Character Recognition",""
"OCS","Organisation Climate Survey",""
"OD","Organization Development",""
"ODC","Organisation Development Committee",""
"ODIN","Organisational Diagnostic and Intelligence Network",""
"ODP","Overseas Development Programme",""
"OECD","Organisation for Economic Development and Co-operation",""
"OED","Office Equipment",""
"OED","Organisational Excellence Department",""
"OEM","Original Equipment Manufacturer",""
"OFWAS","Online Foreign Worker Address Service",""
"OIC","Officer-in-charge",""
"OM","Orientation Module",""
"OMA","Oracle Master Agreement",""
"OOB","Out Of Brand",""
"OOE","Other Operating Expenses",""
"OOM","Orders Of magnitude",""
"OOM","Out Of memory",""
"OOO","Out Of Office",""
"OPA","Oracle Policy Automation",""
"OPEX","Operational Expenditure",""
"OPS","Operations",""
"ORBAT","Order of Battle",""
"OS","OneService MSO",""
"OSA","Official Secret Act",""
"OSPO","Our Singapore Programme Office",""
"OSS","Operational Support Scheme",""
"OTP","One-time password",""
"OnePS WP","One Public Service WorkPlace",""
"P2P","Point-to-point",""
"PA","Personal Assistant",""
"PA","Peoples Association",""
"PAAS","Platform As A Service",""
"PARL","Parliament Of Singapore",""
"PARL Sec","Parliamentary secretary",""
"PATH","Pilot And Trial Hotspots",""
"PB","Personnel Board",""
"PB","Performance Bonus",""
"PBU","Prefabricated Bathroom Units",""
"PCA","Project Collaboration Agreement",""
"PCBT","PC Bulk Tender",""
"PCF","Position Clarification Form",""
"PCP","Professional Certification Programme",""
"PD","People Development",""
"PDA","Personal Digital Assistant ",""
"PDD","Punggol Digital District",""
"PDF","Professional Dynamic Fun",""
"PDPA","Personal Data Protection Act","https://www.pdpc.gov.sg/Legislation-and-Guidelines/Personal-Data-Protection-Act-Overview"
"PDS","People Developer Standards",""
"PEA","Performance Enhancement Activities",""
"PEA","Parlimentary Elections Act",""
"PEAP","Performance Enhancement Action Plan",""
"PERKS","Personal EnRichment Kit for Staff",""
"PET","Peru Time  (UTC-05:00)",""
"PG","Practice Group",""
"PGT","Papua New Guinea Time(UTC+10:00)",""
"PHOT","Phoenix Island Time (UTC+13:00)",""
"PI","Promotion Increment",""
"PIC","Person in-charge",""
"PII","Personally Identifiable Information",""
"PIP","PSD Internal Posting",""
"PIP","Performance Improvement Plan",""
"PIR","Post Implementation Review",""
"PIXEL","Productivity and Innovation eXperienced via EmaiL",""
"PKI","Public Key Infrastructure",""
"PKT","Pakistan Standard Time (UTC+05:00)",""
"PM","Project Manager",""
"PM2S","People Matters Management System",""
"PMD","Personal Mobility Device",""
"PME","Professionals, Managers and Executives",""
"PMET","Professionals, Managers, Executives, and Technicians",""
"PMO","Prime Minister's Office",""
"PMP","People Management Plan",""
"PMP","Project Management Professional",""
"PMP","Project Management Plan",""
"PMS","Performance Management System",""
"PO","Purchase Order",""
"PO","Project Officer",""
"POC","Point of contact",""
"POC","Proof of Concept",""
"POD","Proof of Delivery",""
"PODH","Public Officer Data Hub",""
"POG","People and Organisation Group",""
"POGIS","Public Officers Group Insurance Scheme",""
"POH","Political Office Holder",""
"POI","People Of Interest",""
"PORTS","Prisons Operations and Rehabilitation System",""
"POS","Point of Sale",""
"POWER","Public Officers Working to Eliminate Red-Tape",""
"PP","Protection Profile",""
"PPC","Pay Per Click",""
"PPC","Public Policy Challenge",""
"PPCR","Pre & Post Course Review Form",""
"PPRF","Performance Planning and Review Form",""
"PPVC","Prefabricated Prefinished Volumetric Construction",""
"PQA","Planning & Quality Assurance",""
"PR","Purchase Request",""
"PR","Purchase Requisition",""
"PRIMME","Performance Recognition Incentive to Manage and Motivate Excellence",""
"PRIS","Plastics and Rubber Institute of Singapore",""
"PRP","Performance Review Process",""
"PS","Permanent Secretary",""
"PS21","Public Service for the 21st Century",""
"PSC","Premium Services Consultant",""
"PSC","Public Service Commission",""
"PSC Gateway","PSC Gateway System",""
"PSD","Public Service Division",""
"PSI RC","Public Sector InfoComm Review Committee",""
"PSI SC","Public Sector InfoComm Steering Committee",""
"PSIC","Public Service Innovation Challenge",""
"PSIF","Public Sector InfoComm Forum",""
"PSIP","Public Service Induction Programme",""
"PSIRC","Public Sector Infocomm Review Committee",""
"PSIRC","People Sector Infocomm Resource Centre",""
"PSIRC","Public Sector ICT Review Committee",""
"PSIS","Public Sector Infocomm Seminar",""
"PSL","Public Service Leadership",""
"PSLP","Public Service Leadership Programme",""
"PSM","Premium Services Manager",""
"PSMP","PSC Scholars Mid-Course Programme",""
"PSO","People Sector Organisation",""
"PSST","Public Service Survey Tool",""
"PST","Public Service Transformation",""
"PST","Philippine Standard Time (UTC+08:00)",""
"PST","Public Sector Transformation",""
"PST","Pacific Standard Time USA(UTC-08:00)",""
"PSW","Public Service Week",""
"PSi","Public Sector InfoComm",""
"PT","Penetration Test",""
"PTC","Public Transport Council",""
"PUB","PUB, The National Water Agency",""
"PYST","Paraguay Summer Time (UTC-03:00)",""
"PYT","Paraguay Time[8]  (UTC-04:00)",""
"PaC@Gov","Pay and Claims at Government",""
"PaaS","Platform as a Service",""
"PdM","Product Manager",""
"PenTest","Penetration Testing",""
"PgM","Programme Manager",""
"PrEA","Presidential Elections Act",""
"QA","Quality Audit",""
"QAA","Quotation Approving Authority",""
"QM","Quality Management",""
"QMS","Quality Management System",""
"QSM","Quality Service Management",""
"QSM","Quality Service Manager",""
"QSMO","Quality Service Manager Office",""
"QoS","Quality of Service",""
"R&P","Ranking and Promotion",""
"RACI","Responsible, Accountable, Consulted, Informed",""
"RBS","Room Booking System",""
"RBS","Resource Booking System",""
"RCA","Research Collaboration Agreement",""
"RDD","Resume Driven Development",""
"RE","Register of Electors",""
"RF","Reinvestment Fund",""
"RFC","Request For Concept",""
"RFI","Request for information",""
"RFP","Request For Proposal",""
"RFQ","Request For Quotation",""
"RIO","Reference Interconnection Offer",""
"RM","Resource Management",""
"RM","Risk Management",""
"RMF","Robotics Middleware Framework",""
"RMF","Risk Management Framework",""
"RMM","Risk Management Methodology",""
"RMT","Records Management Team",""
"RO","Reporting Officer",""
"ROH","Remaking Our Heartland programme",""
"ROI","Return on Investment",""
"ROM","Registry Of Marriages",""
"ROS","Robotics Operating System",""
"ROTT","Rothera Research Station Time(UTC-03:00)",""
"RP","Republic Polytechnic",""
"RPA","Robotic Process Automation",""
"RPCA","Robust Principal Component Analysis",""
"RPG","Research & Planning Group",""
"RSS","Really Simple Syndication",""
"RSS","Rich Site Summary",""
"RSS","Retirement Sum Scheme",""
"RTI","Real-Time Innovations",""
"SA","Solution Architect",""
"SAARC","South Asian Association for Regional Cooperation",""
"SAC","Singapore Accountancy Commission",""
"SAF","Singapore Armed Forces",""
"SAMi","Salary Administration Interactive",""
"SAP","Systems, Applications and Products: German enterprise software company",""
"SAR","Staff Appraisal Report",""
"SAST","South African Standard Time(UTC+02:00)",""
"SBB","Subject Based Banding",""
"SBD","Security By Design",""
"SBO","Services Based Operations",""
"SBRM","PS-Level Strategic Budget Review Meetings",""
"SBRM","Strategic Budget Review Meeting",""
"SC","Strategic Communications",""
"SCB","Science Centre Board",""
"SCDF","Singapore Civil Defence Force",""
"SCE","Singapore Cooperation Enterprise",""
"SCM","SNDGO Circular Minutes",""
"SCORE","Singapore Corporation Of Rehabilitative Enterprises",""
"SCS","Security Compliance Service",""
"SCS","Singapore Computer Society",""
"SCT","Seychelles Time  (UTC+04:00)",""
"SD","Senior Director",""
"SDC","Singapore Dental Council",""
"SDF","Skills Development Fund",""
"SDL","skills development levy",""
"SDL","Self-Directed Learning",""
"SDLC","Software Development Life Cycle",""
"SDRP","Singapore Domain Name Dispute Resolution Policy",""
"SE2","Secure Email 2",""
"SEA","South East Asia",""
"SEAB","Singapore Examinations And Assessment Board",""
"SEC","Secondment",""
"SEMPO","Security and Emergency Planning Office",""
"SENTOSA","Sentosa Development Corporation",""
"SEO","Search Engine Optimisation",""
"SERS","Selective En-bloc Redevelopment Scheme",""
"SEV 1","Severity 1",""
"SFA","Singapore Food Agency",""
"SFDC","Social and Family Development Cluster",""
"SFO","Strategic Futures Office",""
"SFTP","Secured File Transfer Protocol",""
"SG-EPP","Endpoint Protection Service",""
"SG-IMCS","SG-Mail Instant Messaging & Conferencing Service",""
"SG-SDS","Software Distribution Service",""
"SG-TRM","Singapore Government Technology Reference Modal",""
"SG-TRM","Singapore Government Technical Manual",""
"SGDI","Singapore Government Directory",""
"SGEMS","Singapore Government Electronic Messaging System",""
"SGMS","Singapore Government MetaData Standards",""
"SGNET","Singapore Government Network",""
"SGO","Silver Generation Office",""
"SGQR","Singapore Quick Response Code",""
"SGTM","Sounds good to me",""
"SGTS","Singapore Government Technology Stack",""
"SHINE","Service Wide Hosting Environment",""
"SHIP","Secure Hybrid Integrated Pipeline",""
"SI","Salary Increment",""
"SI","System Integrator",""
"SIC","Staff In Confidence",""
"SIEM","Security Information and Event Management",""
"SIEVE","Secure Internetworking Environment using Virtual Private Network",""
"SIGs","Special Interest Groups",""
"SII","Significant Information Infrastructure",""
"SINDA","Singapore Indian Development Association",""
"SINGSTAT","Singapore Department of Statistics",""
"SIOT","Sensors & IoT",""
"SIRM","Security Incident Response Manager",""
"SIRO","Security Incident Response Officer",""
"SIT","System Integration Testing",""
"SITF","Singapore Iinformation Technology Federation",""
"SITREP","Situation Report",""
"SIU","Service Improvement Unit",""
"SKU","Stock Keeping Unit",""
"SLA","Service Level Agreement",""
"SLA","Service Level Agreements",""
"SLA","Singapore Land Authority",""
"SLF","Singapore Labour Foundation",""
"SLM","Senior Leadership Meeting",""
"SLM","Senior Level Management",""
"SLS","Student Learning Space",""
"SLSPS","Student Learning Space Pedagogical Scaffold",""
"SLST","Sri Lanka Standard Time(UTC+05:30)",""
"SMC","Singapore Medical Council",""
"SMCCI","Singapore Malay Chamber of Commerce & Industry",""
"SME","Small Medium Enterprise",""
"SME","Small and Medium Enterprises",""
"SME","Subject Matter Expert",""
"SMM","Senior Management Meeting",""
"SMR","Senior Management Retreat",""
"SMS","Standard Market Solution",""
"SMS","Senior Minister of State",""
"SMile","Service - Going the extra MILE",""
"SNDG","Smart Nation Digital Government",""
"SNDGG","Smart Nation and Digital Government Group",""
"SNDGO","Smart Nation and Digital Government Office",""
"SNDGO","Smart Nation and Digital Government Group Office",""
"SNIW","Smart Nation Innovations Week",""
"SNP","Strategic National Project",""
"SNS","Social Network Site",""
"SNSP","Smart Nation Sensor Platform",""
"SOA","Service-Oriented Architecture",""
"SOAP","Simple Object Access Protocol",""
"SOAR","Security Operations, Automation and Response",""
"SOC","Special Operations Command",""
"SOE","Standard ICT Operating Environment",""
"SOLL","Smart Office Living Lab",""
"SOM","Service and Ops Management",""
"SOP","Standard Operating Procedure",""
"SOW","Scheme Of Work",""
"SOW","Statement Of Work",""
"SOW","Scope Of Work",""
"SP","Singapore Polytechnic",""
"SP","Standard Products",""
"SPEAR","Security policy Enforcement and regulation",""
"SPEAR","Singapore Prisons Emergency Action Response",""
"SPF","Singapore Police Force",""
"SPIS","Supplier Performance Information System",""
"SPORTSG","Sport Singapore",""
"SPRC","Security Policy Review Committee",""
"SPS","Singapore Public Service",""
"SPS","Singapore Prison Service",""
"SPSL","Senior Public Service Leaders",""
"SPSL","Senior Public Service Leadership",""
"SQA","Singapore Quality Award",""
"SQC","Singapore Quality Class",""
"SQL","Structured Query Language",""
"SRT","Suriname Time  (UTC-03:00)",""
"SSD","Standard Stamp Duty",""
"SSEB","Safety, Security and Emergency Branch",""
"SSG","SkillsFuture Singapore",""
"SSH","Secure Shell",""
"SSICT","Social Service ICT Program Office",""
"SSOT","Single Source Of Truth",""
"SSS","Staff Suggestion Scheme",""
"SSSO","Senior Specialist Staff Officer",""
"SST","Singapore Standard Time (UTC+08:00)",""
"SST","Samoa Standard Time (UTC-11:00)",""
"ST","Singapore Technologies",""
"STA","Short term accommodation",""
"STATECOURTS","State Courts Singapore",""
"STB","Singapore Tourism Board",""
"STFP","SSH File Transfer Protocol",""
"STG","Sectoral Transformation Group",""
"STRIDE","Spoofing, Tampering, Repudiation, Information disclosure, Denial of Service, Elevation of Privilege",""
"SUD","Senior User Dialogue",""
"SUH","Smart Urban Habitat",""
"SVIP","Smart Visa for Identification with Passport",""
"SVP","Small Value Purchase",""
"SWG","Secure Walled Garden",""
"SWG","secured walled garden",""
"SWOT","Strengths, Weaknesses, Opportunities, Threats",""
"SWP","Strategic Workforce Plan",""
"SWP","Service Wide Programme",""
"SWTA","Service Wide Technical Architecture",""
"SY","Scholarship Year",""
"SaaS","Software as a service",""
"SaaS","Software as a Service",""
"Spml","Service Provisioning Markup Language",""
"TAA","Tender Approving Authority",""
"TAC","Threat Analysis Centre ",""
"TAF","Technical Architectural Forum",""
"TAFEP","Tripartite Alliance for Fair and Progressive Employment Practices",""
"TAL","Token Assisted Login ",""
"TAS","Telecommunication Authority of Singapore",""
"TASS","Training Award & Sponsorship Scheme",""
"TAT","Turn-Around-Time",""
"TCP/IP","Tranmission Control Protocol/Internet Protocol",""
"TEC","Tender Evaluation Committee",""
"TEP","Technology Experimentation Program",""
"TERR","Tender Evaluation Recommendation Report",""
"TG","Training Guidance",""
"TGIF","Thank God It's Friday",""
"THA","Thailand Standard Time (UTC+07:00)",""
"TIC","Trade & Industry Cluster",""
"TIG","Technology Infrastructure Group",""
"TIH","Tourism Information & Services Hub",""
"TIL","Today I Learned",""
"TIVO","Temp, Intern, Vendor and Others",""
"TKT","Tokelau Time  (UTC+13:00)",""
"TLDR","Too Long, Didnt Read",""
"TLP","Total Learning Plan",""
"TLS","Telecom Licensing System Portal",""
"TLT","Timor Leste Time (UTC+09:00)",""
"TM","Tamil Murasu",""
"TMI","Too Much Information",""
"TMS","Talent Management System",""
"TMS","Transportation Management System",""
"TMT","Tenant Management Tier, AIAS",""
"TNP","The New Paper",""
"TNS","Training Nomination System",""
"TO","Transformation Office",""
"TOP","Temporary Occupation Permit",""
"TOR","Terms Of Reference",""
"TOT","Tonga Time  (UTC+13:00)",""
"TP","Temasek Polytechnic",""
"TRA","Threat Risk Analysis",""
"TRACE","The Repository of MHA Enterprise Architecture",""
"TRL","Technology Readiness Level",""
"TRT","Turkey Time (UTC+03:00)",""
"TS","Technical services",""
"TSC","Technical Services Consultant",""
"TSF","Transformation Support Fund",""
"TSM","Technical Services Manager",""
"TTDS","Translation Talent Development Scheme",""
"TTX","Table Top Exercise",""
"TeNHP","Technology Enabled National Healthy Population",""
"UAT","User Acceptance Test",""
"UC","Usability Checklist",""
"UEN","Unique Entity Number",""
"UI","User Interface",""
"ULAST","Ulaanbaatar Summer Time (UTC+09:00)",""
"ULO","University Liaison Officer",""
"UMTS","Universal Mobile Telephone Service",""
"UNESCO","United Nations Educational, Scientific and Cultural Organization",""
"UP","Unsatisfactory Performer",""
"URA","Urban Redevelopment Authority",""
"URL","Uniform Resource Locator",""
"USB","Universal Serial Bus",""
"USZ1","Kaliningrad Time  (UTC+02:00)",""
"UTC","Coordinated Universal Time (UTC+00:00)",""
"UX","User eXperience",""
"UYST","Uruguay Summer Time (UTC-02:00)",""
"UYT","Uruguay Standard Time (UTC-03:00)",""
"UZT","Uzbekistan Time  (UTC+05:00)",""
"VA","Vulnerability Assessment",""
"VA","Value Added",""
"VAPT","Vulnerability Assessment and Penetration Testing ",""
"VAS","Values and Attitudes Survey",""
"VB","Variable Bonus",""
"VC","Variable Component",""
"VDC","Virtual Design and Construction",""
"VET","Venezuelan Standard Time (UTC-04:00)",""
"VFM","Virtual File Manager",""
"VIS","Visual Identity System",""
"VLAT","Vladivostok Time  (UTC+10:00)",""
"VM","Virtual Machine",""
"VMS","Vulnerability Management Service",""
"VMS","Visitor Management System",""
"VOIP","Voice Over Internet Protocol",""
"VPA","Vice-Principal (Administration)",""
"VPC","Virtual Private Cloud",""
"VPIS","Vendor Performation Information System",""
"VPN","Virtual Private Network",""
"VPPW","Volunteer Public Path Warden",""
"VR","Virtual Reality",""
"VUCA","Volatile Uncertain Complex and Ambiguity",""
"VWO","Voluntary Welfare Organisation",""
"WAF","Web Application Firewall",""
"WAST","West Africa Summer Time(UTC+02:00)",""
"WAT","West Africa Time (UTC+01:00)",""
"WBN","Wireless Broadbank Network",""
"WCRSG","Walk Cycle Ride Singapore",""
"WDA","Singapore Workforce Development Agency",""
"WEAVE","Web Services Add Value to Enterprise",""
"WEF","World Economic Forum",""
"WEST","Western European Summer Time(UTC+01:00)",""
"WET","Western European Time (UTC+00:00)",""
"WHAM","Website High Availability Monitoring",""
"WIP","Work In Progress",""
"WIS","Web Interface Standards",""
"WIT","Western Indonesian Time (UTC+07:00)",""
"WITSA","World IT & Services Alliance",""
"WLTD","Work Learn Technical Diploma",""
"WOG","Whole0Of-Government",""
"WOGAA","Whole-Of-Government Application Analytics",""
"WOGSO","Whole-of-Government Strategic Outcomes",""
"WPC","Workforce Planning & Capabilities",""
"WR/DF","Work Review/Development Form",""
"WSG","Workforce Singapore",""
"WSH","Workplace Safety and Health",""
"WSMC","Whole of Government Sensor Master Planner Committee",""
"WSQ","Workforce Skills Qualification",""
"WST","Western Standard Time (UTC+08:00)",""
"WTE","Waste to energy",""
"WTO","World Trade Organisation",""
"WYSIWYG","What You See is What You Get",""
"YAKT","Yakutsk Time  (UTC+09:00)",""
"e-BIDS","e-Business Industry Development Scheme",""
"e-Celebrations","An annual e-lifestyle campaign",""
"eGAP","e-Government Action Plan",""
"eGPC","eGovernment Policy Committee",""
"eIMS","Enterprise Information Management System",""
"gSMS","Government Short Message Service",""
"i-Caf","Innovation Caf",""
"iAMS","GovTech's Asset Management System",""
"iLIUP","Infocomm Local Industry Upgrading Programme",""
"iN 2015","Intelligent Nation 2015",""
"iTRAIN","Infocomm Training Resources And Incentives on the Net",""
"spcp","SingPass/CorpPass",""
